positive,negative,sentiment
-45.763393,-63.351354,1.0
-105.491568,-114.204862,1.0
-57.028078,-67.216467,1.0
-10.055885,-18.589057,1.0
-125.749270,-138.334845,1.0
-25.168635,-35.703266,1.0
-73.594662,-90.405361,1.0
-105.436044,-114.329517,1.0
-36.854375,-43.717174,1.0
-117.905062,-129.445782,1.0
-37.326249,-54.904124,1.0
-40.903410,-50.820535,1.0
-4.623102,-4.887809,1.0
-36.978870,-45.464444,1.0
-99.351268,-114.168102,1.0
-65.955971,-75.546872,1.0
-64.202490,-74.203841,1.0
-55.534492,-66.748659,1.0
-17.077860,-26.713514,1.0
-83.596320,-94.827600,1.0
-40.064065,-56.007743,1.0
-96.315144,-107.479108,1.0
-46.446248,-55.054451,1.0
-40.845531,-55.856437,1.0
-46.436990,-53.058297,1.0
-8.259339,-16.232404,1.0
-94.125335,-100.727089,1.0
-84.480599,-97.593808,1.0
-71.004451,-84.933389,1.0
-10.678420,-17.320545,1.0
-94.734214,-99.917736,1.0
-17.269255,-23.225401,1.0
-94.178064,-105.260389,1.0
-73.434977,-99.884189,1.0
-45.140922,-53.744524,1.0
-4.623102,-4.887809,1.0
-36.901365,-51.685248,1.0
-26.562241,-32.597944,1.0
-56.514997,-67.236507,1.0
-69.305499,-73.133158,1.0
-29.532103,-37.652418,1.0
-58.177192,-67.869921,1.0
-25.866215,-41.238040,1.0
-23.583417,-26.343140,1.0
-44.592545,-60.637823,1.0
-21.856130,-29.248040,1.0
-82.830173,-92.414937,1.0
-17.994151,-24.705531,1.0
-48.714616,-59.373009,1.0
-29.515487,-38.368707,1.0
-49.820622,-57.369219,1.0
-45.763393,-63.351354,1.0
-52.832377,-57.866975,1.0
-86.133019,-94.950187,1.0
-85.878022,-96.950072,1.0
-67.799254,-77.952168,1.0
-46.463725,-55.554885,1.0
-32.917345,-42.847478,1.0
-30.054448,-43.378376,1.0
-13.877093,-20.786281,1.0
-38.272644,-46.841739,1.0
-4.623102,-4.887809,1.0
-42.946659,-48.075166,1.0
-22.760800,-34.004700,1.0
-62.502354,-69.398019,1.0
-20.041843,-28.694515,1.0
-8.821141,-17.895909,1.0
-49.622756,-70.909658,1.0
-30.646074,-39.073176,1.0
-37.326249,-54.904124,1.0
-62.087371,-74.886290,1.0
-36.730591,-46.190998,1.0
-28.798634,-34.633308,1.0
-91.052288,-99.920131,1.0
-11.219036,-18.994522,1.0
-31.152981,-33.022708,1.0
-80.746498,-88.451086,1.0
-40.064065,-56.007743,1.0
-23.220788,-30.015199,1.0
-9.884035,-16.797297,1.0
-8.345682,-16.232404,1.0
-73.434977,-99.884189,1.0
-62.508986,-72.522688,1.0
-12.135327,-18.994522,1.0
-28.459977,-36.319612,1.0
-68.904731,-80.114972,1.0
-43.104005,-53.770917,1.0
-40.845531,-55.856437,1.0
-31.867630,-41.104015,1.0
-7.008391,-14.827857,1.0
-23.583417,-26.343140,1.0
-36.901365,-51.685248,1.0
-4.623102,-4.887809,1.0
-38.200901,-43.564680,1.0
-47.141590,-66.306264,1.0
-14.710535,-21.937292,1.0
-20.156821,-25.959066,1.0
-20.312030,-25.969397,1.0
-49.622756,-70.909658,1.0
-22.607735,-30.379512,1.0
-26.604782,-34.737378,1.0
-61.535709,-70.165585,1.0
-37.586011,-44.025475,1.0
-20.853296,-29.606983,1.0
-49.622756,-70.909658,1.0
-45.763393,-63.351354,1.0
-32.580498,-40.473950,1.0
-37.132669,-49.418614,1.0
-21.010945,-31.008580,1.0
-14.937190,-23.681106,1.0
-63.012143,-72.612781,1.0
-112.885621,-127.664590,1.0
-49.949057,-67.964493,1.0
-37.326249,-54.904124,1.0
-23.167254,-32.048872,1.0
-43.373014,-54.181328,1.0
-54.368552,-59.622500,1.0
-33.727913,-43.765732,1.0
-73.434977,-99.884189,1.0
-69.832461,-79.375707,1.0
-4.623102,-4.887809,1.0
-75.065653,-90.236473,1.0
-57.192850,-68.725810,1.0
-114.409263,-128.349255,1.0
-42.141035,-52.858623,1.0
-21.885098,-27.501819,1.0
-18.720088,-26.391930,1.0
-40.064065,-56.007743,1.0
-11.442180,-16.979619,1.0
-9.938102,-18.301375,1.0
-33.928838,-38.236535,1.0
-18.634930,-26.525461,1.0
-30.939888,-36.967392,1.0
-29.660992,-35.503739,1.0
-6.603916,-15.133792,1.0
-36.901365,-51.685248,1.0
-17.946898,-24.980943,1.0
-68.579209,-79.050780,1.0
-139.651708,-151.456693,1.0
-66.782763,-74.061372,1.0
-85.884101,-97.495256,1.0
-21.428138,-28.471372,1.0
-65.110557,-82.962650,1.0
-78.360476,-93.786150,1.0
-69.308038,-77.856705,1.0
-31.821989,-41.302158,1.0
-39.205751,-49.181992,1.0
-4.623102,-4.887809,1.0
-49.931804,-60.224474,1.0
-63.015734,-74.951471,1.0
-152.363266,-168.962042,1.0
-15.456876,-23.886404,1.0
-10.749033,-16.979619,1.0
-48.563110,-59.133642,1.0
-45.763393,-63.351354,1.0
-8.032684,-14.978139,1.0
-106.771847,-117.041102,1.0
-20.375511,-23.396198,1.0
-73.434977,-99.884189,1.0
-72.781426,-84.131547,1.0
-87.372144,-97.078163,1.0
-51.129347,-58.154066,1.0
-4.623102,-4.887809,1.0
-44.112791,-52.595308,1.0
-37.326249,-54.904124,1.0
-104.958318,-119.299560,1.0
-28.709297,-32.574797,1.0
-55.009915,-63.655833,1.0
-23.612705,-30.573116,1.0
-24.739535,-33.012310,1.0
-81.414342,-94.801776,1.0
-20.687091,-30.781678,1.0
-40.064065,-56.007743,1.0
-28.882168,-39.016444,1.0
-32.281730,-34.144229,1.0
-99.827176,-105.972496,1.0
-117.568046,-124.805758,1.0
-23.083561,-29.793127,1.0
-14.192545,-18.388386,1.0
-75.065653,-90.236473,1.0
-15.944725,-22.560575,1.0
-69.816531,-83.819182,1.0
-46.872308,-53.169523,1.0
-4.623102,-4.887809,1.0
-36.901365,-51.685248,1.0
-49.622756,-70.909658,1.0
-142.672778,-152.127311,1.0
-14.915897,-23.129037,1.0
-28.952919,-42.270163,1.0
-74.259889,-83.697001,1.0
-56.256371,-64.516931,1.0
-73.434977,-99.884189,1.0
-46.939447,-55.884953,1.0
-35.771030,-41.111639,1.0
-96.172613,-105.920761,1.0
-45.763393,-63.351354,1.0
-95.665507,-108.906419,1.0
-55.784490,-64.514505,1.0
-46.690638,-58.714610,1.0
-64.303309,-72.645628,1.0
-11.775847,-18.388386,1.0
-39.320612,-50.867091,1.0
-68.904731,-80.114972,1.0
-100.985185,-107.004111,1.0
-12.490799,-18.994522,1.0
-47.939092,-55.601963,1.0
-4.623102,-4.887809,1.0
-37.551728,-50.857181,1.0
-124.495504,-134.187549,1.0
-37.326249,-54.904124,1.0
-8.594368,-16.509615,1.0
-14.743526,-22.354156,1.0
-53.759430,-60.877086,1.0
-30.639941,-40.742542,1.0
-18.501398,-26.469892,1.0
-14.805401,-21.613227,1.0
-88.527111,-99.364350,1.0
-55.307143,-56.503877,1.0
-56.066273,-63.647004,1.0
-40.064065,-56.007743,1.0
-25.679676,-33.500407,1.0
-33.692171,-39.615478,1.0
-75.771187,-82.062489,1.0
-57.969822,-62.723994,1.0
-43.381127,-53.222365,1.0
-26.322393,-34.705629,1.0
-24.237174,-32.330723,1.0
-42.912113,-54.626913,1.0
-62.454236,-76.001954,1.0
-17.025492,-24.217178,1.0
-35.557219,-44.495653,1.0
-73.434977,-99.884189,1.0
-36.901365,-51.685248,1.0
-9.832742,-16.691937,1.0
-23.583417,-26.343140,1.0
-20.175375,-27.883585,1.0
-31.531879,-40.473950,1.0
-21.730424,-29.600063,1.0
-14.222750,-24.833785,1.0
-112.669310,-132.556187,1.0
-36.015941,-45.736032,1.0
-11.036715,-18.994522,1.0
-27.132863,-33.284028,1.0
-16.920948,-23.958317,1.0
-30.990077,-37.190536,1.0
-25.416815,-34.364703,1.0
-46.098293,-56.254049,1.0
-23.157865,-30.398191,1.0
-28.273251,-37.714532,1.0
-43.781250,-50.230651,1.0
-19.660385,-26.188989,1.0
-11.219036,-17.048612,1.0
-15.010529,-23.231390,1.0
-45.763393,-63.351354,1.0
-69.693278,-87.314310,1.0
-4.623102,-4.887809,1.0
-47.932699,-57.389030,1.0
-99.683317,-110.782995,1.0
-37.605814,-45.625344,1.0
-9.190888,-16.221933,1.0
-44.878403,-52.234295,1.0
-78.241463,-80.734649,1.0
-45.954606,-54.293915,1.0
-67.239292,-79.465326,1.0
-17.228433,-24.337806,1.0
-52.621757,-65.567621,1.0
-107.006711,-113.595329,1.0
-47.632594,-57.964395,1.0
-16.418803,-24.693261,1.0
-75.365644,-84.696749,1.0
-73.434977,-99.884189,1.0
-79.864083,-87.633417,1.0
-37.326249,-54.904124,1.0
-91.460263,-101.293009,1.0
-4.623102,-4.887809,1.0
-17.764576,-26.417248,1.0
-55.518491,-65.792586,1.0
-17.385087,-23.229625,1.0
-13.471628,-20.786281,1.0
-14.430390,-22.531200,1.0
-89.246418,-101.509327,1.0
-80.344621,-89.485049,1.0
-24.364841,-33.152762,1.0
-27.907538,-31.330819,1.0
-25.884132,-31.572765,1.0
